seed,method,error_m
11,fl_static_no_densification,0.12041058391332626
11,fl_static_no_densification,0.24030570685863495
11,fl_static_no_densification,0.038891810923814774
11,fl_static_no_densification,0.09188837558031082
11,fl_static_no_densification,0.05062982812523842
11,fl_static_no_densification,0.05613109469413757
11,fl_static_no_densification,0.15085434913635254
11,fl_static_no_densification,0.029134513810276985
11,fl_static_no_densification,0.05982494726777077
11,fl_static_no_densification,0.09304234385490417
11,fl_static_no_densification,0.02886432409286499
11,fl_static_no_densification,0.17104867100715637
11,fl_static_no_densification,0.16466856002807617
11,fl_static_no_densification,0.10332025587558746
11,fl_static_no_densification,0.08362787216901779
11,fl_static_no_densification,0.11034292727708817
11,fl_static_no_densification,0.11286164820194244
11,fl_static_no_densification,0.06620370596647263
11,fl_static_no_densification,0.04084121435880661
11,fl_static_no_densification,0.07119295001029968
11,fl_static_no_densification,0.17707835137844086
11,fl_static_no_densification,0.07875175029039383
11,fl_static_no_densification,0.2116452306509018
11,fl_static_no_densification,0.0159673560410738
11,fl_static_no_densification,0.052614595741033554
11,fl_static_no_densification,0.1010376363992691
11,fl_static_no_densification,0.03150041028857231
11,fl_static_no_densification,0.2020796835422516
11,fl_static_no_densification,0.029230784624814987
11,fl_static_no_densification,0.028457626700401306
11,fl_static_no_densification,0.00818981509655714
11,fl_static_no_densification,0.007512624841183424
11,fl_static_no_densification,0.08156801015138626
11,fl_static_no_densification,0.08229167014360428
11,fl_static_no_densification,3.385759115219116
11,fl_static_no_densification,3.400540351867676
11,fl_static_no_densification,0.29546287655830383
11,fl_static_no_densification,0.0688970685005188
11,fl_static_no_densification,0.015473490580916405
11,fl_static_no_densification,0.038377635180950165
11,fl_static_no_densification,0.05234087258577347
11,fl_static_no_densification,0.019546443596482277
11,fl_static_no_densification,0.20919470489025116
11,fl_static_no_densification,0.08787714689970016
11,fl_static_no_densification,0.01992102526128292
11,fl_static_no_densification,0.09256168454885483
11,fl_static_no_densification,0.11775486916303635
11,fl_static_no_densification,0.0479213148355484
11,fl_static_no_densification,0.06816904246807098
11,fl_static_no_densification,0.01737820729613304
11,fl_static_no_densification,0.11175187677145004
11,fl_static_no_densification,0.019551420584321022
11,fl_static_no_densification,0.007912622764706612
11,fl_static_no_densification,0.018253862857818604
11,fl_static_no_densification,0.015451464802026749
11,fl_static_no_densification,0.23102614283561707
11,fl_static_no_densification,0.07457278668880463
11,fl_static_no_densification,0.06029712036252022
11,fl_static_no_densification,0.09848134219646454
11,fl_static_no_densification,0.24616725742816925
11,fl_static_no_densification,0.06381093710660934
11,fl_static_no_densification,0.15623745322227478
11,fl_static_no_densification,0.033650558441877365
11,fl_static_no_densification,0.1757369339466095
11,fl_static_no_densification,0.0723094716668129
11,fl_static_no_densification,0.010661295615136623
11,fl_static_no_densification,0.0301926638931036
11,fl_static_no_densification,2.1617960929870605
11,fl_static_no_densification,0.12367281317710876
11,fl_static_no_densification,0.15849953889846802
11,fl_static_no_densification,0.106956347823143
11,fl_static_no_densification,0.11414015293121338
11,fl_static_no_densification,0.15893447399139404
11,fl_static_no_densification,0.07410136610269547
11,fl_static_no_densification,0.13541118800640106
11,fl_static_no_densification,0.11660149693489075
11,fl_static_no_densification,0.012093547731637955
11,fl_static_no_densification,0.09229708462953568
11,fl_static_no_densification,0.13206028938293457
11,fl_static_no_densification,0.029840771108865738
11,fl_static_no_densification,0.13460232317447662
11,fl_static_no_densification,0.15282483398914337
11,fl_static_no_densification,0.04180179536342621
11,fl_static_no_densification,0.022181307896971703
11,fl_static_no_densification,0.08308449387550354
11,fl_static_no_densification,0.11495492607355118
11,fl_static_no_densification,0.1331849992275238
11,fl_static_no_densification,0.023281216621398926
11,fl_static_no_densification,0.08045414090156555
11,fl_static_no_densification,0.010734125971794128
11,fl_static_no_densification,0.10645060241222382
11,fl_static_no_densification,0.034589920192956924
11,fl_static_no_densification,0.16421042382717133
11,fl_static_no_densification,0.05565400421619415
11,fl_static_no_densification,0.08637408912181854
11,fl_static_no_densification,0.06415387243032455
11,fl_static_no_densification,0.07413428276777267
11,fl_static_no_densification,0.07383529841899872
11,fl_static_no_densification,0.16242140531539917
11,fl_static_no_densification,0.16998419165611267
11,fl_static_no_densification,0.1873008906841278
11,fl_static_no_densification,0.05460074543952942
11,fl_static_no_densification,0.040566280484199524
11,fl_static_no_densification,0.13366204500198364
11,fl_static_no_densification,0.01160017866641283
11,fl_static_no_densification,0.083225779235363
11,fl_static_no_densification,0.04345538839697838
11,fl_static_no_densification,0.05873151496052742
11,fl_static_no_densification,0.14142246544361115
11,fl_static_no_densification,0.03547777235507965
11,fl_static_no_densification,0.06348428130149841
11,fl_static_no_densification,0.08530766516923904
11,fl_static_no_densification,0.0659959688782692
