seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
37,40,1.142473721008936,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.045168985,0.082096405,0.0734919,0.09458974
37,40,1.142473721008936,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.052403573,0.11657053,0.0745818,0.09817474
53,0,14.514365903196108,fl_static_no_densification,Federated static DNN without temporal densification,0.55700046,0.7414904,1.0342758,1.4362695
53,0,14.514365903196108,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6665598,1.8221387,2.572249,2.786872
53,0,14.514365903196108,adr_tcn_central,ADR TCN-only (centralized),0.4828312,0.58366436,0.9183274,1.1101779
53,0,14.514365903196108,adr_lstm_central,ADR LSTM-only (centralized),0.48117173,0.5820825,0.91763234,1.102576
53,0,14.514365903196108,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.48049536,0.58170456,0.9139132,1.102576
53,0,14.514365903196108,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.48473364,0.58475256,0.91855884,1.102576
53,5,9.678112569110613,fl_static_no_densification,Federated static DNN without temporal densification,0.37835664,0.5853063,0.6427728,0.89881223
53,5,9.678112569110613,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.3973494,1.5555414,2.2278364,2.4817955
53,5,9.678112569110613,adr_tcn_central,ADR TCN-only (centralized),0.3025718,0.36300978,0.574666,0.67467105
53,5,9.678112569110613,adr_lstm_central,ADR LSTM-only (centralized),0.30062035,0.36066148,0.5708824,0.66812956
53,5,9.678112569110613,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.3001099,0.36002913,0.57037944,0.66812956
53,5,9.678112569110613,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.30529192,0.36550328,0.5775034,0.6759364
53,10,6.477289161443913,fl_static_no_densification,Federated static DNN without temporal densification,0.27843353,0.52051055,0.42189458,0.56951195
53,10,6.477289161443913,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.166868,1.3243568,1.9094881,2.161578
53,10,6.477289161443913,adr_tcn_central,ADR TCN-only (centralized),0.2017911,0.24353959,0.38717768,0.45981234
53,10,6.477289161443913,adr_lstm_central,ADR LSTM-only (centralized),0.19972719,0.24023916,0.38349915,0.45681292
53,10,6.477289161443913,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.19928788,0.23931143,0.38330457,0.45609596
53,10,6.477289161443913,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.20505093,0.24800439,0.39495093,0.4672689
53,15,4.370456435499681,fl_static_no_densification,Federated static DNN without temporal densification,0.2171515,0.49184802,0.28613007,0.38416857
53,15,4.370456435499681,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.0242561,1.1770772,1.6897652,1.9280304
53,15,4.370456435499681,adr_tcn_central,ADR TCN-only (centralized),0.14010386,0.17305443,0.2678309,0.3226002
53,15,4.370456435499681,adr_lstm_central,ADR LSTM-only (centralized),0.13802283,0.16850692,0.2655126,0.3184021
53,15,4.370456435499681,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.1375947,0.16722251,0.26363003,0.31662205
53,15,4.370456435499681,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.14360484,0.17966667,0.27725127,0.33314633
53,20,3.0000000000000004,fl_static_no_densification,Federated static DNN without temporal densification,0.17739485,0.47868603,0.19646578,0.261965
53,20,3.0000000000000004,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.95665956,1.104604,1.5822195,1.8250512
53,20,3.0000000000000004,adr_tcn_central,ADR TCN-only (centralized),0.10014704,0.13043489,0.19056895,0.22973773
53,20,3.0000000000000004,adr_lstm_central,ADR LSTM-only (centralized),0.09808233,0.12444654,0.1879449,0.22649333
53,20,3.0000000000000004,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.09762267,0.122714095,0.1879449,0.22576217
53,20,3.0000000000000004,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.10375371,0.13927004,0.19423065,0.24058689
53,25,2.1297271778393787,fl_static_no_densification,Federated static DNN without temporal densification,0.15243608,0.47287706,0.141281,0.18754995
